batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
2,768,6,26,381067008.0,no,367.95854568481445
3,768,6,26,381067008.0,no,369.8439598083496
4,768,6,26,381067008.0,no,444.0600872039795
5,768,6,26,381067008.0,no,381.26301765441895
1,768,6,27,388146432.0,no,446.7170238494873
2,768,6,27,388146432.0,no,373.0919361114502
3,768,6,27,388146432.0,no,437.02125549316406
4,768,6,27,388146432.0,no,362.37263679504395
5,768,6,27,388146432.0,no,369.20666694641113
1,768,6,28,395225856.0,no,433.38704109191895
2,768,6,28,395225856.0,no,370.5720901489258
3,768,6,28,395225856.0,no,435.6386661529541
4,768,6,28,395225856.0,no,372.25842475891113
5,768,6,28,395225856.0,no,444.01025772094727
1,768,6,29,402305280.0,no,373.76928329467773
2,768,6,29,402305280.0,no,436.2945556640625
3,768,6,29,402305280.0,no,370.9690570831299
4,768,6,29,402305280.0,no,378.15117835998535
5,768,6,29,402305280.0,no,438.86709213256836
1,768,6,30,409384704.0,no,369.51518058776855
2,768,6,30,409384704.0,no,435.87708473205566
3,768,6,30,409384704.0,no,378.5092830657959
4,768,6,30,409384704.0,no,437.685489654541
5,768,6,30,409384704.0,no,386.9786262512207
1,768,6,31,416464128.0,no,371.2148666381836
2,768,6,31,416464128.0,no,436.8715286254883
3,768,6,31,416464128.0,no,375.92291831970215
4,768,6,31,416464128.0,no,456.69007301330566
5,768,6,31,416464128.0,no,379.9407482147217
1,768,6,32,423543552.0,no,462.38040924072266
2,768,6,32,423543552.0,no,391.69859886169434
3,768,6,32,423543552.0,no,447.9663372039795
4,768,6,32,423543552.0,no,379.21619415283203
5,768,6,32,423543552.0,no,379.2834281921387
1,1536,6,25,1101869568.0,no,440.0813579559326
2,1536,6,25,1101869568.0,no,368.0591583251953
3,1536,6,25,1101869568.0,no,449.8934745788574
4,1536,6,25,1101869568.0,no,374.4063377380371
5,1536,6,25,1101869568.0,no,391.21413230895996
1,1536,6,26,1130184192.0,no,441.7450428009033
2,1536,6,26,1130184192.0,no,392.40074157714844
3,1536,6,26,1130184192.0,no,465.8474922180176
4,1536,6,26,1130184192.0,no,399.7514247894287
5,1536,6,26,1130184192.0,no,461.6384506225586
1,1536,6,27,1158498816.0,no,379.6200752258301
2,1536,6,27,1158498816.0,no,423.99001121520996
3,1536,6,27,1158498816.0,no,475.6317138671875
4,1536,6,27,1158498816.0,no,390.4244899749756
5,1536,6,27,1158498816.0,no,454.7991752624512
1,1536,6,28,1186813440.0,no,382.71212577819824
2,1536,6,28,1186813440.0,no,490.8595085144043
3,1536,6,28,1186813440.0,no,390.6984329223633
4,1536,6,28,1186813440.0,no,381.2294006347656
5,1536,6,28,1186813440.0,no,467.88597106933594
1,1536,6,29,1215128064.0,no,384.8569393157959
2,1536,6,29,1215128064.0,no,475.01373291015625
3,1536,6,29,1215128064.0,no,393.0678367614746
4,1536,6,29,1215128064.0,no,449.7942924499512
5,1536,6,29,1215128064.0,no,378.7369728088379
1,1536,6,30,1243442688.0,no,497.1508979797363
2,1536,6,30,1243442688.0,no,407.81617164611816
3,1536,6,30,1243442688.0,no,387.728214263916
4,1536,6,30,1243442688.0,no,445.2791213989258
5,1536,6,30,1243442688.0,no,401.625394821167
1,1536,6,31,1271757312.0,no,497.78079986572266
2,1536,6,31,1271757312.0,no,379.0299892425537
3,1536,6,31,1271757312.0,no,451.72119140625
4,1536,6,31,1271757312.0,no,383.5296630859375
5,1536,6,31,1271757312.0,no,405.1554203033447
1,1536,6,32,1300071936.0,no,452.2218704223633
2,1536,6,32,1300071936.0,no,378.27038764953613
3,1536,6,32,1300071936.0,no,454.8656940460205
4,1536,6,32,1300071936.0,no,386.3694667816162
5,1536,6,32,1300071936.0,no,447.6971626281738
1,512,8,25,216557056.0,no,499.6762275695801
2,512,8,25,216557056.0,no,449.5692253112793
3,512,8,25,216557056.0,no,382.0300102233887
4,512,8,25,216557056.0,no,383.76903533935547
5,512,8,25,216557056.0,no,448.5945701599121
1,512,8,26,219965952.0,no,382.95960426330566
2,512,8,26,219965952.0,no,448.96793365478516
3,512,8,26,219965952.0,no,377.7310848236084
4,512,8,26,219965952.0,no,445.1887607574463
5,512,8,26,219965952.0,no,376.8157958984375
1,512,8,27,223374848.0,no,374.011754989624
2,512,8,27,223374848.0,no,437.2532367706299
3,512,8,27,223374848.0,no,370.5170154571533
4,512,8,27,223374848.0,no,440.5391216278076
5,512,8,27,223374848.0,no,373.81935119628906
1,512,8,28,226783744.0,no,437.9301071166992
2,512,8,28,226783744.0,no,374.0870952606201
3,512,8,28,226783744.0,no,372.1346855163574
4,512,8,28,226783744.0,no,443.9678192138672
5,512,8,28,226783744.0,no,373.28505516052246
1,512,8,29,230192640.0,no,450.5047798156738
2,512,8,29,230192640.0,no,382.4014663696289
3,512,8,29,230192640.0,no,470.8850383758545
4,512,8,29,230192640.0,no,382.1580410003662
5,512,8,29,230192640.0,no,380.3517818450928
1,512,8,30,233601536.0,no,450.50644874572754
